,,,,,,,
 job_title,company,posting_date,industry,experience_level,location,role,domain_specific
Analyst,slice,2025-10-23  ,Banking,0-2,Bengaluru,AI_Role,NO
HR Data Analytics - Data AnalystHR Data Analytics - Data Analyst,Gac solutions ,2025-11-05  ,Information Technology ,1-2,Hybrid,Non_AI_Role,NO
Data Analyst ,Wipro,2025-11-05  ,Information Technology ,3-5,Remote,Non_AI_Role,NO
Reporting Hub –AnalystReporting Hub –Analyst with verification,Deloitte,2025-11-05  ,Business Consulting and Services,3,Hyderabad,Non_AI_Role,NO
Data Analyst ,Scry AI,2025-10-30  ,Software Development,2,Remote,AI_Role,NO
Data Analyst ,Lenovo,2025-10-23  ,Information Technology ,3-5,Gurugram,Non_AI_Role,NO
Data Analyst ,MoveUp Media,2025-10-23  ,Information Technology ,4,Remote,Non_AI_Role,NO
BI Analyst,Asian Hires,2025-11-05  ,Staffing and Recruiting,6,Remote,Non_AI_Role,NO
Data Analyst - Power Bi & SQL,IBM,2025-11-05  ,Information Technology ,2-4,Bengaluru,AI_Role,NO
Data Analyst ,Cision,2025-10-30  ,Public Relations and Communications Services,1-2,Remote,Non_AI_Role,NO
Data Analyst ,Driffle,2025-11-06  ,Retail,2-4,Gurugram,AI_Role,NO
Data Analyst ,Cozzera,2025-11-06  ,Software Development,5,Remote,Non_AI_Role,YES (Healthcare)
Data Analyst ,Jobgether,2025-11-06  ,Internet Marketplace Platforms,5,Remote,AI_Role,NO
Customer Data Analyst,Netradyne,2025-11-05  ,Software Development,3,Bengaluru,Non_AI_Role,NO
IT Data Analyst,Dassault Systèmes,2025-11-05  ,Software Development,2-5,Hybrid,Non_AI_Role,NO
Portfolio Data Analyst,Arcana,2025-11-04  ,Information Technology ,0-2 ,Remote,Non_AI_Role,NO
Data Analyst ,Zoom,2025-11-05  ,Information Technology ,7,Remote,Non_AI_Role,NO
Product Analyst,apna,2025-10-16  ,Information Technology ,1-4,Bengaluru,Non_AI_Role,NO
Data Analyst ,DraconX,2025-11-05  ,Information Technology ,2-4,Remote,AI_Role,NO
Senior Analyst (CIS),Everest Group,2025-11-06  ,Information Services,2-5,Hybrid,Non_AI_Role,NO
